player_name,market_value_millions
Andrej Kramaric,6
Timo Hübers,5.5
Min-jae Kim,45
Florian Wirtz,130
Nico Schlotterbeck,40
Patrick Mainka,3.5
Willian Pacho,35
Kevin Stöger,5
Leroy Sané,70
Dan-Axel Zagadou,12
Xavi Simons,80
Maximilian Mittelstädt,17
Angelo Stiller,28
Joshua Kimmich,50
Serhou Guirassy,40
Omar Marmoush,22
Maximilian Wöber,10
Robin Koch,18
David Raum,25
Mitchell Weiser,6
Waldemar Anton,20
Philipp Lienhart,15
Harry Kane,100
Loïs Openda,60
Deniz Undav,25
Leon Goretzka,30
Xaver Schlager,28
Anton Stach,15
Jeremie Frimpong,50
Alphonso Davies,50
Jamal Musiala,120
Alejandro Grimaldo,45
Granit Xhaka,20
Jeff Chabot,9
Chris Führich,28
Exequiel Palacios,45
Anthony Caci,6
Donyell Malen,40
Benjamin Henrichs,20
Emre Can,10
Odilon Kossounou,35
Maximilian Arnold,8
Josip Stanisic,28
Noussair Mazraoui,30
Marco Friedl,7
Maximilian Beier,30
Willi Orbán,10
Joakim Maehle,14
Maxence Lacroix,20
Felix Uduokhai,8
Thomas Meunier,2.5
Nico Elvedi,10
Florian Grillitsch,6.5
Kevin Mbabu,3.5
Jonas Hofmann,10
Sepp van den Berg,12
Rogério,5
Ian Maatsen,40
Julian Ryerson,15
Victor Boniface,40
Marcel Sabitzer,20
Konrad Laimer,30
Tuta,12
Hiroki Ito,30
Amos Pieper,3.5
Ermedin Demirovic,28
Jonathan Tah,30
Marvin Ducksch,9
Kingsley Coman,50
Romano Schmid,10
Raphaël Guerreiro,12
Dayot Upamecano,45
Aleksandar Pavlovic,30
Diogo Leite,12
Jeffrey Gouweleeuw,1.5
Phillipp Mwene,2.5
Jonas Föhrenbach,3.5
John Brooks,1.5
Mohamed Simakan,35
Robin Knoche,4
Fabian Nürnberger,2.5
Nadiem Amiri,4
Leart Paçarada,2
Keven Schlotterbeck,6
Robin Gosens,12
Edmond Tapsoba,45
Omar Traoré,3
Ozan Kabak,10
Emir Karic,1.2
Mats Hummels,5
Niclas Füllkrug,15
Matthias Bader,1.5
Kevin Vogt,2
Ramy Bensebaini,7
Max Finkgräfe,5
Eric Dier,12
Kiliann Sildillia,15
Jadon Sancho,30
Serge Gnabry,40
Cédric Zesiger,6
Pavel Kaderabek,2
Jens Stage,7
Alassane Pléa,7
Piero Hincapié,40
Enzo Millot,30
Maximilian Eggestein,8
Tim Kleindienst,10
Bernardo,7
Brajan Gruda,20
Pascal Stenzel,2.5
Anthony Jung,1.2
Rasmus Carstensen,3.5
Franck Honorat,10
Luca Netz,10
Patrick Osterhage,7
Jonas Wind,18
Milos Veljkovic,5
Vincenzo Grifo,9
Tim Siersleben,2
Ellyes Skhiri,10
Robert Andrich,11
Julian Brandt,40
Dani Olmo,50
Amadou Haidara,20
Danilho Doekhi,12
Jonathan Burkardt,15
Takuma Asano,4
Atakan Karazor,12
Matthias Ginter,10
Farès Chaïbi,18
Moritz Jenz,7
Mads Pedersen,3
Rubén Vargas,7.5
Hugo Ekitiké,20
Julian Weigl,6
Benedikt Gimber,2.5
Mario Götze,3.5
Ivan Ordets,2
Mattias Svanberg,12
Ko Itakura,12
Joe Scally,12
Thomas Müller,8
Niklas Beste,15
Leonardo Bittencourt,2
Iago,4.5
Florian Kainz,2.5
Dejan Ljubicic,5
Silvan Widmer,2.5
Lovro Majer,20
Marius Wolf,3
Fabian Holland,0.5
Dominik Kohr,2.5
Justin Njinmah,9
Philipp Max,2
Phillip Tietz,6
Niels Nkounkou,7.5
Clemens Riedel,2.5
Eren Dinkçi,12
Niklas Stark,5
András Schäfer,5
Dominique Heintz,1
Wout Weghorst,6
Josip Juranovic,7.5
Kevin Kampl,3.5
Amine Adli,30
Benedict Hollerbach,5
Rocco Reitz,10
Manu Koné,20
Jan Thielmann,4
Christopher Trimmel,0.5
Ritsu Doan,18
Eric Martel,9
Nicolas Höfler,1.5
Tim Skarke,4
Ridle Baku,7
Grischa Prömel,8
Kristijan Jakic,5.5
Marvin Mehlem,2.5
Ansgar Knauff,10
Florian Neuhaus,7
Manuel Gulde,1
Julian Justvan,2.5
Marco Reus,5
Junior Dina Ebimbe,12
Denis Huseinbasic,5
Jamie Leweling,7
Aurélio Buta,5
Stefan Lainer,1.5
Niklas Süle,15
Yannik Keitel,4
Matthijs de Ligt,65
Lukas Kübler,2.5
Lucas Tousart,4.5
Nicolas Cozza,3.5
Jae-sung Lee,3
Kevin Akpoguma,3
Sheraldo Becker,6
Christian Günter,4
Christopher Antwi-Adjei,1.5
Arne Maier,5
Danny da Costa,1.2
Fredrik Jensen,3.5
Stefan Bell,0.6
Maximilian Wittek,3
Leandro Barreiro,17
Hugo Larsson,28
Youssoufa Moukoko,22
Roland Sallai,15
Felix Passlack,3
Castello Lukeba,40
Benno Schmitz,1.5
Yorbe Vertessen,5
Christoph Zimmermann,0.8
Marius Bülter,3
Jan Schöppner,2.5
Merlin Röhl,12
Vaclav Cerny,7
Robert Skov,4.5
Elvis Rexhbecaj,4
Lukas Klostermann,8
Mathys Tel,40
Patrik Schick,22
Klaus Gjasula,0.4
Matej Maglica,2.5
Anthony Losilla,0.4
Ihlas Bebou,4
David Datro Fofana,12
Tim Drexler,6
Linton Maina,3
Nathan Tella,23
Olivier Deman,4
Nathan Ngoumou,5
Felix Agu,2.5
Edimilson Fernandes,3
Kevin Paredes,7.5
Jannik Müller,0.8
Yannick Gerhardt,4
Christoph Klarer,3.5
Gonçalo Paciência,2
Tobias Kempe,0.4
Matus Bero,3
Andreas Hanche-Olsen,4
Norman Theuerkauf,0.2
Bartol Franjic,2.5
Karim Onisiwo,1.5
Julián Malatini,4
Jamie Gittens,28
Mark Uth,1
Josha Vagnoman,10
Jordy Makengo,2.5
Sebastiaan Bornauw,4
Salih Özcan,10
Silas,10
Erhan Masovic,3.5
Niklas Dorsch,4
Manuel Riemann,0.6
Marco Richter,4
Lennard Maloney,3
Marvin Friedrich,2.5
Maximilian Bauer,2
Anthony Rouault,7
Timo Werner,17
Senne Lynen,3.5
Robin Hack,5
Felix Nmecha,20
Kevin Behrens,2
Karim Adeyemi,28
Leonardo Bonucci,1.5
Stanley Nsoki,2.5
Attila Szalai,4
Luca Waldschmidt,3
Bryan Zaragoza,12
Alexander Meyer,1.5
Maxim Leitsch,2
Sargis Adamyan,1
Kevin Volland,3
Philipp Hofmann,1.5
Rani Khedira,5
Aïssa Laïdouni,6
Justin Diehl,2.5
Alexander Nübel,12
Brenden Aaronson,10
Tomas Cvancara,6
Tom Krauß,6
Giovanni Reyna,18
Leonidas Stergiou,5
Marnon Busch,1.5
Jacob Christensen,1.5
Luca Pfeiffer,1.5
Marcel Schuhen,1.2
Lucas Höler,4.5
Janik Haberer,3.5
Noah Weißhaupt,4
Kevin Sessa,2.5
Manuel Neuer,4
Moritz Broschinski,2.5
Arne Engels,7.5
Alex Král,5
Cristian Gamboa,0.4
Christoph Baumgartner,18
