player_name,position,overall_rating,matches_played
Andrej Kramaric,forward,92.6,30
Timo Hübers,defender,91.5,31
Min-jae Kim,defender,90.8,25
Florian Wirtz,forward,90.4,32
Nico Schlotterbeck,defender,90.3,33
Patrick Mainka,defender,90.3,34
Willian Pacho,defender,90.0,33
Kevin Stöger,midfielder,89.9,32
Leroy Sané,forward,89.4,27
Dan-Axel Zagadou,defender,89.0,19
Xavi Simons,forward,88.5,32
Maximilian Mittelstädt,midfielder,88.2,31
Angelo Stiller,midfielder,87.4,32
Joshua Kimmich,midfielder,87.1,28
Serhou Guirassy,forward,86.7,28
Omar Marmoush,forward,86.0,29
Maximilian Wöber,defender,85.8,25
Robin Koch,defender,85.2,31
David Raum,midfielder,85.0,31
Mitchell Weiser,midfielder,83.5,30
Philipp Lienhart,defender,83.4,15
Waldemar Anton,defender,83.4,33
Harry Kane,forward,83.4,32
Loïs Openda,forward,83.3,34
Deniz Undav,forward,82.7,30
Leon Goretzka,midfielder,82.6,30
Xaver Schlager,midfielder,82.5,29
Anton Stach,midfielder,82.4,33
Jeremie Frimpong,forward,81.9,31
Alphonso Davies,midfielder,81.7,29
Jamal Musiala,forward,81.6,24
Alejandro Grimaldo,midfielder,81.4,33
Granit Xhaka,midfielder,81.3,33
Jeff Chabot,defender,81.3,32
Chris Führich,forward,81.0,34
Exequiel Palacios,midfielder,81.0,24
Anthony Caci,midfielder,80.6,31
Donyell Malen,forward,80.2,27
Benjamin Henrichs,midfielder,79.9,33
Emre Can,midfielder,79.3,25
Odilon Kossounou,midfielder,79.1,22
Josip Stanisic,midfielder,79.1,20
Maximilian Arnold,midfielder,79.1,30
Noussair Mazraoui,midfielder,78.6,19
Marco Friedl,defender,78.3,25
Maximilian Beier,forward,78.3,33
Willi Orbán,defender,78.2,19
Maxence Lacroix,defender,78.0,28
Joakim Maehle,midfielder,78.0,30
Felix Uduokhai,defender,77.9,33
Thomas Meunier,midfielder,77.7,8
Nico Elvedi,defender,77.0,30
Florian Grillitsch,midfielder,76.9,30
Kevin Mbabu,midfielder,76.3,25
Jonas Hofmann,forward,76.1,32
Sepp van den Berg,defender,75.5,33
Rogério,midfielder,75.3,13
Ian Maatsen,midfielder,75.2,16
Julian Ryerson,midfielder,75.0,21
Marcel Sabitzer,midfielder,74.9,25
Victor Boniface,forward,74.9,23
Konrad Laimer,midfielder,74.6,29
Tuta,defender,74.0,30
Hiroki Ito,defender,73.9,26
Amos Pieper,defender,73.7,7
Ermedin Demirovic,forward,73.7,33
Jonathan Tah,midfielder,73.6,31
Marvin Ducksch,forward,73.4,33
Kingsley Coman,forward,73.4,17
Romano Schmid,midfielder,73.2,33
Raphaël Guerreiro,midfielder,72.8,20
Dayot Upamecano,defender,72.7,25
Aleksandar Pavlovic,midfielder,72.7,19
Diogo Leite,defender,72.4,32
Jeffrey Gouweleeuw,defender,72.2,30
Phillipp Mwene,midfielder,72.0,23
Jonas Föhrenbach,midfielder,71.8,33
John Brooks,defender,71.8,21
Mohamed Simakan,midfielder,71.5,32
Robin Knoche,defender,71.1,24
Nadiem Amiri,midfielder,71.0,23
Fabian Nürnberger,midfielder,71.0,21
Leart Paçarada,midfielder,70.9,17
Robin Gosens,midfielder,70.8,30
Edmond Tapsoba,midfielder,70.8,27
Keven Schlotterbeck,defender,70.8,27
Omar Traoré,midfielder,70.5,31
Ozan Kabak,defender,70.1,28
Emir Karic,midfielder,69.9,27
Mats Hummels,defender,69.8,25
Niclas Füllkrug,forward,69.6,31
Matthias Bader,midfielder,69.5,24
Kevin Vogt,defender,69.4,32
Ramy Bensebaini,midfielder,69.1,17
Max Finkgräfe,midfielder,69.0,24
Eric Dier,defender,68.9,15
Kiliann Sildillia,midfielder,68.7,27
Jadon Sancho,forward,68.6,14
Serge Gnabry,forward,68.4,10
Cédric Zesiger,defender,68.4,22
Jens Stage,midfielder,68.1,30
Pavel Kaderabek,midfielder,68.1,29
Alassane Pléa,forward,67.9,27
Piero Hincapié,midfielder,67.6,25
Enzo Millot,midfielder,67.4,31
Bernardo,midfielder,67.1,33
Maximilian Eggestein,midfielder,67.1,33
Tim Kleindienst,forward,67.1,33
Brajan Gruda,forward,66.9,28
Pascal Stenzel,midfielder,66.7,22
Rasmus Carstensen,midfielder,66.6,23
Anthony Jung,defender,66.6,31
Patrick Osterhage,midfielder,66.5,24
Luca Netz,midfielder,66.5,30
Franck Honorat,midfielder,66.5,32
Jonas Wind,forward,66.1,34
Milos Veljkovic,defender,65.9,23
Vincenzo Grifo,midfielder,65.7,32
Ellyes Skhiri,midfielder,65.2,27
Tim Siersleben,defender,65.2,12
Robert Andrich,midfielder,65.0,28
Julian Brandt,midfielder,64.9,32
Dani Olmo,midfielder,64.8,21
Amadou Haidara,midfielder,64.6,21
Danilho Doekhi,defender,64.2,24
Jonathan Burkardt,forward,64.2,21
Takuma Asano,forward,64.0,29
Atakan Karazor,midfielder,63.9,33
Matthias Ginter,defender,63.7,23
Farès Chaïbi,forward,63.4,28
Mads Pedersen,midfielder,63.3,27
Moritz Jenz,defender,63.3,22
Rubén Vargas,forward,62.8,31
Hugo Ekitiké,forward,62.3,14
Julian Weigl,midfielder,62.0,31
Benedikt Gimber,defender,61.8,24
Mario Götze,midfielder,61.7,30
Ivan Ordets,defender,61.4,24
Mattias Svanberg,midfielder,61.4,25
Ko Itakura,defender,61.3,20
Joe Scally,midfielder,60.9,31
Thomas Müller,forward,60.8,31
Leonardo Bittencourt,midfielder,60.3,29
Niklas Beste,midfielder,60.3,31
Iago,midfielder,59.9,23
Florian Kainz,midfielder,59.8,33
Dejan Ljubicic,midfielder,59.7,26
Silvan Widmer,midfielder,59.5,20
Lovro Majer,midfielder,59.4,32
Marius Wolf,midfielder,59.3,21
Fabian Holland,midfielder,59.2,23
Justin Njinmah,forward,58.8,24
Dominik Kohr,midfielder,58.8,31
